                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90115,                  1.631,                 1.3587,                0.42543,                0.38432,                0.34934,                 0.2271,                 1.3117,                 2.7706,                 1.8514,               0.066782,             3.3251e-05,             3.3251e-05
                      2,                0.74893,                 1.2487,                 1.2392,                0.64357,                0.53593,                0.59702,                0.45352,                0.87671,                 1.5615,                 1.3414,               0.033482,             6.6385e-05,             6.6385e-05
                      3,                 0.6844,                 1.1028,                 1.1982,                 0.7163,                0.64098,                0.69648,                0.54003,                 0.8005,                 1.1812,                 1.2654,             0.00018122,             9.9319e-05,             9.9319e-05
                      4,                 0.6733,                 1.0617,                 1.1948,                0.73114,                0.64009,                0.70064,                0.54714,                0.77327,                 1.1779,                 1.2549,               9.91e-05,               9.91e-05,               9.91e-05
                      5,                0.65054,                   1.02,                 1.1742,                0.72867,                0.62244,                0.70597,                0.55372,                0.75646,                 1.1785,                 1.2332,               9.88e-05,               9.88e-05,               9.88e-05
                      6,                0.64482,                0.98474,                 1.1687,                 0.7314,                0.62735,                0.70748,                0.55566,                0.75295,                  1.166,                 1.2356,               9.85e-05,               9.85e-05,               9.85e-05
                      7,                0.63388,                0.97587,                 1.1651,                0.75298,                0.63602,                0.70753,                0.55598,                0.75568,                 1.1484,                 1.2249,               9.82e-05,               9.82e-05,               9.82e-05
                      8,                0.64059,                0.97352,                 1.1668,                0.74764,                0.62201,                0.70723,                0.56107,                0.74231,                 1.1442,                 1.2183,               9.79e-05,               9.79e-05,               9.79e-05
                      9,                0.61847,                0.93544,                 1.1479,                0.71675,                0.65614,                0.71474,                0.56143,                0.75743,                 1.1622,                 1.2342,               9.76e-05,               9.76e-05,               9.76e-05
                     10,                0.62873,                0.93365,                 1.1513,                0.72737,                 0.6346,                0.71026,                0.56122,                 0.7452,                  1.143,                 1.2174,               9.73e-05,               9.73e-05,               9.73e-05
                     11,                0.62708,                0.93824,                 1.1509,                0.71033,                 0.6439,                 0.7042,                0.55435,                0.74555,                 1.1583,                 1.2259,                9.7e-05,                9.7e-05,                9.7e-05
                     12,                0.61525,                0.91646,                 1.1468,                0.73728,                0.65378,                0.71614,                0.56725,                0.73856,                 1.1398,                 1.2082,               9.67e-05,               9.67e-05,               9.67e-05
                     13,                0.61887,                0.89593,                  1.143,                0.72079,                0.62956,                0.70328,                 0.5602,                0.73309,                  1.182,                 1.2134,               9.64e-05,               9.64e-05,               9.64e-05
                     14,                0.61136,                0.90303,                 1.1427,                0.73271,                0.63574,                0.70742,                0.56609,                0.74553,                 1.2028,                 1.2197,               9.61e-05,               9.61e-05,               9.61e-05
                     15,                0.61376,                0.89912,                 1.1444,                0.73473,                0.63366,                0.71882,                0.57077,                0.73772,                  1.127,                 1.2152,               9.58e-05,               9.58e-05,               9.58e-05
                     16,                0.60369,                 0.8837,                 1.1429,                0.73648,                0.64446,                0.71556,                0.56668,                0.74116,                 1.1813,                  1.227,               9.55e-05,               9.55e-05,               9.55e-05
                     17,                0.60565,                0.87935,                 1.1383,                0.72269,                 0.6606,                0.72216,                0.57462,                0.71433,                 1.1386,                 1.1999,               9.52e-05,               9.52e-05,               9.52e-05
                     18,                 0.6076,                0.87568,                 1.1381,                0.73199,                 0.6681,                0.72199,                0.57447,                0.72293,                  1.122,                 1.2017,               9.49e-05,               9.49e-05,               9.49e-05
                     19,                0.60813,                0.88026,                 1.1354,                0.74453,                0.64685,                0.71895,                0.57832,                0.72389,                 1.1144,                  1.208,               9.46e-05,               9.46e-05,               9.46e-05
                     20,                0.59608,                0.86134,                 1.1318,                0.76228,                0.63912,                0.72176,                0.57717,                0.72509,                 1.1413,                 1.2117,               9.43e-05,               9.43e-05,               9.43e-05
                     21,                0.59795,                0.86376,                 1.1272,                0.74738,                0.66303,                0.73564,                0.58527,                0.73328,                 1.1009,                 1.2135,                9.4e-05,                9.4e-05,                9.4e-05
                     22,                0.59525,                0.85828,                 1.1435,                0.73518,                0.65579,                0.72426,                0.57333,                0.74333,                 1.1262,                 1.2279,               9.37e-05,               9.37e-05,               9.37e-05
                     23,                0.59327,                0.85304,                 1.1355,                0.75946,                0.66619,                  0.737,                0.58955,                0.72053,                 1.0816,                 1.1982,               9.34e-05,               9.34e-05,               9.34e-05
                     24,                0.59412,                0.85598,                 1.1278,                 0.7692,                0.63265,                0.73218,                0.58727,                0.71437,                 1.0793,                 1.2005,               9.31e-05,               9.31e-05,               9.31e-05
                     25,                0.59562,                0.85313,                  1.129,                0.76352,                0.65291,                0.73322,                0.58663,                 0.7201,                 1.0873,                 1.2093,               9.28e-05,               9.28e-05,               9.28e-05
                     26,                0.59846,                0.85153,                 1.1312,                0.75904,                0.63698,                0.72558,                0.58143,                0.71699,                 1.1228,                 1.1893,               9.25e-05,               9.25e-05,               9.25e-05
                     27,                0.59842,                0.85309,                 1.1318,                0.76731,                0.64042,                0.72227,                0.57886,                0.73204,                 1.1257,                 1.2058,               9.22e-05,               9.22e-05,               9.22e-05
                     28,                0.59297,                0.83821,                 1.1356,                0.74204,                0.64231,                0.72598,                 0.5803,                0.72429,                 1.1159,                 1.2044,               9.19e-05,               9.19e-05,               9.19e-05
                     29,                0.59127,                0.83993,                 1.1345,                 0.7506,                0.65135,                0.72718,                 0.5866,                0.70022,                  1.103,                 1.1837,               9.16e-05,               9.16e-05,               9.16e-05
