                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9653,                 3.6302,                 2.2581,                0.08728,                0.08144,                0.03861,                0.01183,                  2.245,                 3.5379,                 2.7699,               0.066782,             3.3251e-05,             3.3251e-05
                      2,                 1.5812,                 3.0687,                 1.9253,                0.16161,                0.17306,                0.09957,                0.03835,                 1.8294,                 3.0806,                 2.3539,               0.033482,             6.6385e-05,             6.6385e-05
                      3,                 1.4426,                 2.8357,                 1.8134,                0.23456,                0.26751,                0.16651,                0.08402,                 1.6194,                 2.8853,                 2.1838,             0.00018122,             9.9319e-05,             9.9319e-05
                      4,                 1.3528,                 2.6962,                 1.7429,                0.24029,                0.30717,                0.17941,                0.09593,                 1.5171,                 2.7052,                 2.0579,               9.91e-05,               9.91e-05,               9.91e-05
                      5,                  1.296,                 2.5923,                 1.6896,                0.28169,                0.32445,                0.21666,                0.12188,                 1.4824,                  2.577,                 2.0152,               9.88e-05,               9.88e-05,               9.88e-05
                      6,                  1.262,                 2.5234,                 1.6605,                0.28314,                0.30669,                 0.2398,                0.14056,                 1.4132,                   2.47,                 1.9299,               9.85e-05,               9.85e-05,               9.85e-05
                      7,                 1.2182,                 2.4457,                 1.6294,                0.31396,                0.31019,                0.25936,                0.15039,                 1.3769,                 2.4886,                  1.866,               9.82e-05,               9.82e-05,               9.82e-05
                      8,                 1.1993,                 2.4163,                 1.6132,                 0.3098,                0.36198,                 0.2688,                0.15996,                 1.3838,                 2.3902,                  1.875,               9.79e-05,               9.79e-05,               9.79e-05
                      9,                 1.1685,                 2.3581,                 1.5775,                0.33685,                0.35821,                0.29439,                0.17557,                 1.3432,                  2.346,                 1.8472,               9.76e-05,               9.76e-05,               9.76e-05
                     10,                 1.1693,                 2.3366,                 1.5702,                0.34574,                0.34634,                0.29369,                0.17529,                 1.3165,                 2.3247,                 1.7849,               9.73e-05,               9.73e-05,               9.73e-05
                     11,                  1.147,                 2.2923,                 1.5517,                0.31888,                0.34974,                0.29027,                0.17153,                 1.2908,                 2.3479,                 1.7676,                9.7e-05,                9.7e-05,                9.7e-05
                     12,                 1.1186,                 2.2541,                 1.5322,                0.37652,                0.40121,                0.33076,                0.20141,                 1.2536,                 2.2142,                  1.729,               9.67e-05,               9.67e-05,               9.67e-05
                     13,                 1.1063,                 2.2292,                  1.517,                0.38933,                0.36369,                0.33615,                0.20959,                 1.2473,                 2.1655,                 1.7309,               9.64e-05,               9.64e-05,               9.64e-05
                     14,                 1.0939,                 2.2027,                 1.5092,                0.39811,                0.38259,                0.34663,                0.21824,                  1.243,                 2.1476,                  1.698,               9.61e-05,               9.61e-05,               9.61e-05
                     15,                 1.0904,                  2.185,                 1.5088,                0.42652,                0.39174,                0.35913,                0.22946,                 1.2111,                 2.1072,                 1.6725,               9.58e-05,               9.58e-05,               9.58e-05
                     16,                  1.074,                 2.1563,                 1.5054,                0.40468,                0.39779,                0.35476,                0.22272,                 1.2331,                 2.1955,                 1.7076,               9.55e-05,               9.55e-05,               9.55e-05
                     17,                 1.0651,                 2.1279,                 1.4907,                0.43753,                0.41278,                0.39283,                0.25357,                 1.1859,                 2.0191,                 1.6314,               9.52e-05,               9.52e-05,               9.52e-05
                     18,                 1.0637,                 2.1186,                 1.4826,                0.43798,                0.40243,                0.38713,                0.25379,                  1.191,                 2.0402,                 1.6527,               9.49e-05,               9.49e-05,               9.49e-05
                     19,                  1.066,                 2.1079,                 1.4805,                0.43075,                0.41214,                 0.3946,                0.26066,                 1.1408,                 1.9809,                 1.6045,               9.46e-05,               9.46e-05,               9.46e-05
                     20,                 1.0466,                 2.0772,                 1.4737,                0.42369,                0.42003,                0.38771,                0.25183,                 1.1795,                 2.0142,                 1.6076,               9.43e-05,               9.43e-05,               9.43e-05
                     21,                 1.0394,                 2.0659,                 1.4551,                0.44507,                0.39221,                0.38994,                0.26089,                  1.167,                 2.0429,                 1.6291,                9.4e-05,                9.4e-05,                9.4e-05
                     22,                  1.031,                 2.0471,                 1.4784,                0.45497,                0.43312,                0.41399,                0.27532,                  1.149,                 1.9596,                 1.6047,               9.37e-05,               9.37e-05,               9.37e-05
                     23,                 1.0223,                 2.0331,                 1.4605,                0.49503,                0.43264,                0.43789,                0.28959,                 1.1501,                 1.8951,                 1.5821,               9.34e-05,               9.34e-05,               9.34e-05
